term,average_tf,idf,tf_idf,frequency,document_frequency
breach,0.0001727563272004837,5.424950017481403,0.000937194440266287,2,1
breadth,0.00023185717597959656,5.424950017481403,0.0012578135908837011,1,1
break,0.0014888615141078502,3.3455084758015667,0.004980998814742567,9,8
brexit,0.0004405286343612335,5.424950017481403,0.0023898458226790324,2,1
bright,6.0346388268662116e-05,5.424950017481403,0.00032737614009301807,1,1
brilliant,5.122425980944575e-05,5.424950017481403,0.00027788904914872466,1,1
bring,0.0003671071953010279,4.7318028369214575,0.0017370788681796833,2,2
brink,0.00027533039647577095,5.424950017481403,0.0014936536391743952,1,1
britain,0.00031285749499111986,4.7318028369214575,0.0014803799823511217,3,2
british,0.0009734194215554831,3.8155121050473024,0.003714093586233089,6,5
briton,8.81057268722467e-05,5.424950017481403,0.00047796916453580644,1,1
broadcaster,0.00027533039647577095,5.424950017481403,0.0014936536391743952,1,1
bromley,5.721151095600435e-05,5.424950017481403,0.0003103695873609133,1,1
bruise,3.9332913782252985e-05,5.424950017481403,0.00021337909131062785,1,1
brussels,0.002092511013215859,4.038655656361512,0.008450931439522988,4,4
budget,9.177679882525697e-05,5.424950017481403,0.000497884546391465,3,1
build,0.0004096732665420531,4.326337728813293,0.001772384909527069,3,3
building,0.00030082395170500894,4.7318028369214575,0.0014234396280916849,2,2
bulldoze,3.496259002866932e-05,5.424950017481403,0.00018967030338722476,1,1
bunch,0.0005506607929515419,5.424950017481403,0.0029873072783487904,1,1
burnham,0.00024473813020068524,5.424950017481403,0.0013276921237105731,1,1
business,7.728572532653218e-05,5.424950017481403,0.00041927119696123365,1,1
byelection,0.00014210601108426886,5.424950017481403,0.0007709180073158168,2,1
cabbage,0.0013635410111181036,4.7318028369214575,0.006452007224667396,2,2
cafe,0.0003671071953010279,5.424950017481403,0.00199153818556586,1,1
calderdale,0.0008009611533840609,5.424950017481403,0.004345174223052786,2,1
call,0.0013137573231424985,3.4790398684260895,0.004570614104649489,7,7
campaign,0.0005071875724553675,4.7318028369214575,0.0023999115941956153,4,2
campaigner,0.0011188028809174183,4.7318028369214575,0.00529395464588094,3,2
campaigning,0.0002591344908007256,5.424950017481403,0.0014057916603994307,1,1
candidate,0.0020991065551651798,3.6331905482533475,0.007626454096002776,6,6
capital,3.0592266275085654e-05,5.424950017481403,0.00016596151546382164,1,1
capture,6.47836227001814e-05,5.424950017481403,0.00035144791509985766,1,1
car,0.0008834777557244518,4.7318028369214575,0.004180442550893964,4,2
caracas,0.00010012014417300761,5.424950017481403,0.0005431467778815982,1,1
